Crakehill,Skip Bridge,Westwick,Arkengarthdale,East Cowton,Malham Tarn,Snaizeholme,Skelton
0.8,0,0,4,12.4,5.29,10.97,37.13
0.8,0,0,4,11.2,4.7,12.67,31.33
0,4.8,8.8,28,10.2,4.47,9.64,29.42
0,0,0,0,9.43,3.82,9.12,25.83
0,0,0,0,8.8,3.55,8.71,22.82
0.8,0,0,0,8.32,3.34,7.87,21.51
0,0,0,0,8.04,3.26,7.38,19.93
0,0,0,0,7.74,3.11,7.01,19.06
0,0,0,0,7.38,2.98,6.74,18.14
0,0,0,0,7.17,2.94,6.37,17.15
2.4,11.2,20,47.2,7.89,6.36,8.69,16.21
0.8,12.8,0,1.6,8.66,4.98,11.13,21.44
0,0,0,0,8.4,3.79,8.8,24.91
0,27.2,76,115.2,7.95,3.44,10.28,21.98
9.6,145.6,149.6,178.8,120,40.57,188.75,19.51
3.2,0,61.6,41.6,155,39.21,72.28,189.6
0.8,26.4,90.4,132,73,18.78,68.59,277.1
1.6,13.6,32,57.6,107,32.62,102.65,171.9
0.8,0.8,1.6,1.6,81.2,23.83,64.31,211.8
0.8,0,0,0,37.8,11.14,34.21,182.9
49.6,34.4,48.8,42.4,25.5,9.08,29.53,103
0.8,0,4,2.4,42.1,13.04,44.01,67.18
0,0,0,0,27.5,9.24,26.43,92.33
0,0,0,0,19.6,6.63,19.75,74.03
0,0,0,0,16.2,5.41,15.91,51.53
0,0,0,0,14.1,4.67,13.7,41.04
7.2,4.8,14.4,32.8,13,4.26,12.55,34.74
2.4,0.8,10.4,2.4,12.5,4.11,12.16,31.28
2.4,0,24.8,16,12.2,3.85,12.32,29.67
5.6,1.6,28.8,11.2,11.5,3.79,11.92,29.22
48,5.6,46,118.4,11.4,4.05,16.53,27.6
15.2,0,58.4,137.6,57.2,9.61,110.01,28.03
5.6,4,23.2,16,32.1,14.62,48.41,123.9
3.2,0,4,8.8,17.4,8.27,28.53,119.9
0,1.6,0,0,14.5,5.88,21.31,60.87
0.8,0,0.8,0.8,12.5,4.76,15.94,44.06
0,0,0,0,10.8,4,12.73,35.14
0,0,0,0,9.62,3.51,10.71,28.75
0,0,0,0.8,8.72,3.16,9.44,24.44
0,0,0,0,8.17,2.99,8.63,21.47
4,0,25.6,4.8,7.85,2.95,8.03,19.92
0,4.8,22,18.4,7.7,3.04,7.8,18.9
